transcript_id,contig,start,end,strand,gene_id,biotype,transcript_name,ncRNA_biotype,disease_variants_present,number_variants,blast_hit
ENST00000625445,9,37079857,37090507,+,ENSG00000281649,lncRNA,EBLN3P-202,lincRNA,False,0,P0CF75
ENST00000505289,4,133093790,133149114,-,ENSG00000250241,lncRNA,PCDH10-DT-201,lincRNA,False,0,Q8N2A0
ENST00000609975,2,95525109,95526702,-,ENSG00000272913,lncRNA,,lincRNA,False,0,A6NHS1
ENST00000543008,10,5510036,5523177,-,ENSG00000205488,lncRNA,CALML3-AS1-202,antisense_RNA,False,0,P51957
ENST00000621929,16,75433836,75436392,+,ENSG00000274220,lncRNA,,lincRNA,False,0,Q96MW7
ENST00000609207,1,916865,921016,-,ENSG00000223764,retained_intron,LINC02593-203,retained_intron,False,0,D5USX8
ENST00000553259,12,49292631,49324576,-,ENSG00000258334,lncRNA,TROAP-AS1-201,antisense_RNA,True,38,P41219
ENST00000436681,22,21300991,21309881,-,ENSG00000206142,lncRNA,FAM230H-205,lincRNA,False,0,Q8N402
ENST00000564823,15,74821074,74831795,+,ENSG00000261606,retained_intron,,retained_intron,True,1,Q8WVH0
ENST00000620585,9,66047087,66055006,-,ENSG00000274628,retained_intron,CYP4F59P-206,retained_intron,False,0,Q9H0H9
ENST00000455995,9,40321299,40329218,+,ENSG00000223839,processed_transcript,FAM95B1-201,lincRNA,False,0,Q9H0H9
ENST00000608963,7,149858400,149862492,-,ENSG00000273419,lncRNA,,antisense_RNA,True,2,O60290
ENST00000450451,1,237862175,237928321,+,ENSG00000237250,lncRNA,,antisense_RNA,True,6,Q6P378
ENST00000518014,5,149406963,149414097,+,ENSG00000249669,lncRNA,CARMN-205,lincRNA,False,0,P51957
ENST00000563328,16,72665170,72791624,+,ENSG00000259768,lncRNA,,antisense_RNA,True,5,Q15911
ENST00000562952,1,110936369,110942353,-,ENSG00000261654,lncRNA,,sense_overlapping,False,0,P11369
ENST00000484892,3,84638406,84869575,-,ENSG00000242641,lncRNA,LINC00971-202,lincRNA,False,0,Q6UX73
ENST00000615251,14,90383365,90387973,+,ENSG00000275198,lncRNA,,lincRNA,False,0,Q8N2A0
ENST00000619314,15,50354959,50356034,+,ENSG00000244879,lncRNA,GABPB1-AS1-206,antisense_RNA,False,0,Q9FWS1
ENST00000587904,18,56083362,56137517,-,ENSG00000267712,lncRNA,LINC01539-201,lincRNA,False,0,Q01579
ENST00000426250,12,72253538,72274907,-,ENSG00000236333,lncRNA,TRHDE-AS1-201,antisense_RNA,True,1,Q9UKU6
ENST00000526036,11,74493366,74498533,+,ENSG00000254837,lncRNA,,bidirectional_promoter_lncRNA,True,24,A6NK58
ENST00000417456,1,34974356,34985313,-,ENSG00000284773,protein_coding,,sense_overlapping,False,0,Q7L0L9
ENST00000634644,21,15370500,15627258,-,ENSG00000229425,lncRNA,,lincRNA,False,0,A4D2B8
ENST00000321214,16,89159220,89163675,+,ENSG00000180422,lncRNA,LINC00304-201,lincRNA,False,0,Q8N9R0
ENST00000549354,19,16015634,16027460,+,ENSG00000205396,lncRNA,LINC00661-204,lincRNA,False,0,Q2M2D7
ENST00000314957,5,43014414,43018724,-,ENSG00000177738,lncRNA,,sense_overlapping,False,0,Q05481
ENST00000637046,9,106697990,106716979,+,ENSG00000234323,lncRNA,LINC01505-206,lincRNA,False,0,Q8TPJ2
ENST00000624219,22,48052646,48058275,+,ENSG00000278890,lncRNA,,lincRNA,False,0,Q8N2A0
ENST00000565936,13,112313467,112321758,+,ENSG00000260343,lncRNA,LINC01043-201,lincRNA,False,0,Q8N7P7
ENST00000631195,11,129612116,129617269,-,ENSG00000281097,lncRNA,LINC01395-201,lincRNA,False,0,A6T7B9
ENST00000583030,17,30576464,30579682,+,ENSG00000214719,lncRNA,,processed_transcript,False,0,A6NIU2
ENST00000612262,15,48327566,48331846,-,ENSG00000259488,lncRNA,DUT-AS1-203,antisense_RNA,True,1,P33316
ENST00000452840,2,58428338,59063766,+,ENSG00000233723,lncRNA,LINC01122-207,lincRNA,False,0,Q8WTZ3
ENST00000568395,16,2660361,2673441,-,ENSG00000260565,lncRNA,ERVK13-1-205,lincRNA,False,0,P61570
ENST00000590398,17,77546941,77563244,+,ENSG00000267506,lncRNA,,lincRNA,False,0,Q56TU4
ENST00000609107,6,167666840,167679270,-,ENSG00000272549,lncRNA,LINC02538-201,lincRNA,False,0,Q6ZSV7
ENST00000459985,9,136806182,136810042,+,ENSG00000273066,retained_intron,,retained_intron,False,0,Q5T5S1
ENST00000622372,X,141502849,141649927,+,ENSG00000277215,lncRNA,SPANXA2-OT1-201,lincRNA,False,0,A0A096LPI5
ENST00000604992,3,37241789,37244177,-,ENSG00000270194,lncRNA,GOLGA4-AS1-201,antisense_RNA,False,0,Q95EF3
ENST00000562242,8,10433672,10438312,+,ENSG00000261451,lncRNA,,sense_overlapping,False,0,Q8WTZ3
ENST00000433214,10,86970741,87010126,+,ENSG00000271880,lncRNA,,processed_transcript,False,0,Q6NRL1
ENST00000565192,6,31053450,31059890,+,ENSG00000228789,processed_transcript,HCG22-212,lincRNA,False,0,E2RYF7
ENST00000635225,21,15370511,15444723,-,ENSG00000229425,lncRNA,,lincRNA,False,0,O00370
ENST00000606998,6,137823675,137868233,-,ENSG00000237499,lncRNA,WAKMAR2-205,antisense_RNA,False,0,Q9M2Y6
ENST00000611189,16,89516797,89522219,+,ENSG00000197912,processed_transcript,SPG7-223,sense_intronic,True,1,Q8N2A0
ENST00000567246,15,24164777,24169948,-,ENSG00000260551,lncRNA,PWRN2-202,lincRNA,False,0,P10273
ENST00000539086,11,64291722,64304769,+,ENSG00000257069,lncRNA,KCNK4-TEX40-201,processed_transcript,True,167,Q9NYG8
ENST00000325811,13,74412957,74419115,-,ENSG00000177596,lncRNA,,lincRNA,False,0,A8XSV3
ENST00000448490,10,89829556,89840861,+,ENSG00000232229,lncRNA,LINC00865-201,lincRNA,False,0,Q8C0X8
ENST00000427391,X,131702652,131830643,-,ENSG00000213468,lncRNA,FIRRE-201,lincRNA,False,0,Q9BUT9
ENST00000574180,16,46622861,46624451,-,ENSG00000261512,lncRNA,,lincRNA,False,0,E9Q634
ENST00000515403,5,176143085,176185155,-,ENSG00000248596,lncRNA,,processed_transcript,False,0,Q8TEP8
ENST00000612722,20,63253978,63261615,+,ENSG00000275620,lncRNA,FLJ16779-201,antisense_RNA,False,0,P14708
ENST00000436786,9,22646200,22824213,+,ENSG00000234840,lncRNA,LINC01239-202,lincRNA,False,0,Q53H47
ENST00000428283,2,176753400,176819250,-,ENSG00000230552,retained_intron,,retained_intron,False,0,Q1HDT3
ENST00000424208,15,25181843,25222285,+,ENSG00000224078,lncRNA,SNHG14-202,antisense_RNA,False,0,Q8Q038
ENST00000562624,15,30196036,30214540,+,ENSG00000225930,lncRNA,LINC02249-202,lincRNA,False,0,Q9UFV3
ENST00000456601,2,238231684,238255633,+,ENSG00000225057,lncRNA,,antisense_RNA,True,6,O15055
ENST00000581067,18,5236724,5238598,-,ENSG00000264575,lncRNA,LINC00526-201,lincRNA,False,0,Q96FQ7
ENST00000640307,9,23500691,23672387,-,ENSG00000283982,lncRNA,,lincRNA,False,0,O00370
ENST00000562284,4,47431960,47438959,+,ENSG00000260918,lncRNA,,sense_overlapping,False,0,Q8N2A0
ENST00000623760,22,47916728,47926264,+,ENSG00000279712,lncRNA,,lincRNA,False,0,Q6NYY4
ENST00000455853,6,165939456,165988039,-,ENSG00000112541,processed_transcript,PDE10A-203,lincRNA,False,0,A8K010
ENST00000484550,7,149597,155465,+,ENSG00000240859,lncRNA,,lincRNA,False,0,Q8N2A0
ENST00000582581,19,29287011,29525752,-,ENSG00000264515,lncRNA,VSTM2B-DT-202,lincRNA,False,0,Q9BUA6
ENST00000562549,16,46622861,46624443,-,ENSG00000261512,lncRNA,,lincRNA,False,0,Q555Z5
ENST00000589723,18,79578063,79589010,+,ENSG00000267287,lncRNA,,lincRNA,False,0,Q9Z2R9
ENST00000608442,4,7754077,7778928,+,ENSG00000272620,lncRNA,AFAP1-AS1-201,antisense_RNA,True,1,Q8N556
ENST00000556053,15,95433095,95507847,+,ENSG00000259134,lncRNA,LINC00924-202,lincRNA,False,0,Q8NEM8
ENST00000607850,5,140161953,140173051,+,ENSG00000254363,retained_intron,,retained_intron,False,0,Q8WTZ3
ENST00000452320,7,79458411,79467470,+,ENSG00000234456,retained_intron,MAGI2-AS3-212,retained_intron,False,0,Q8N2A0
ENST00000623370,21,10122273,10129029,+,ENSG00000279851,lncRNA,,lincRNA,False,0,A0LPR5
ENST00000606115,8,10486807,10489666,+,ENSG00000272505,lncRNA,,lincRNA,False,0,Q6ZN92
ENST00000437781,22,15784963,15827708,+,ENSG00000206195,lncRNA,DUXAP8-203,lincRNA,False,0,A6NLW8
ENST00000606274,6,87151159,87155285,-,ENSG00000272008,lncRNA,,antisense_RNA,False,0,Q6W8W3
ENST00000454741,22,27919421,28002679,+,ENSG00000235954,lncRNA,TTC28-AS1-217,antisense_RNA,True,11,Q96AY4
ENST00000637009,5,103880199,103891368,-,ENSG00000283462,retained_intron,,retained_intron,False,0,Q8WTZ3
ENST00000449316,20,25955795,25969288,+,ENSG00000226203,lncRNA,LINC01733-201,lincRNA,False,0,Q6UX73
ENST00000426635,6,71414493,71420311,-,ENSG00000233237,lncRNA,LINC00472-203,lincRNA,False,0,Q9H8W2
ENST00000558888,15,62827675,62835397,-,ENSG00000259370,lncRNA,,antisense_RNA,False,0,Q71LX4
ENST00000622750,17,68133201,68135935,+,ENSG00000277476,lncRNA,,lincRNA,False,0,Q99961
ENST00000415848,7,41693916,41779388,+,ENSG00000224116,lncRNA,INHBA-AS1-201,antisense_RNA,False,0,Q4ZXH2
ENST00000593139,17,42679963,42682020,+,ENSG00000267042,lncRNA,,antisense_RNA,True,2,P46092
ENST00000591705,17,20545371,20549952,+,ENSG00000267075,lncRNA,,lincRNA,False,0,P35125
ENST00000499871,5,43014734,43018811,-,ENSG00000177738,lncRNA,,sense_overlapping,False,0,Q6UX73
ENST00000617777,13,40194509,40220502,-,ENSG00000215483,lncRNA,LINC00598-208,lincRNA,False,0,A6X0W8
ENST00000550268,12,79392252,79455460,-,ENSG00000257894,lncRNA,,lincRNA,True,13,O00370
ENST00000578492,17,64749663,64781626,-,ENSG00000215769,lncRNA,ARHGAP27P1-BPTFP1-KPNA2P3-201,processed_transcript,False,0,Q12830
ENST00000638195,10,87342922,87357301,+,ENSG00000224914,lncRNA,LINC00863-202,lincRNA,False,0,Q9LZW9
ENST00000639059,15,22015233,22095857,+,ENSG00000285472,protein_coding,,sense_overlapping,True,3,Q8N0Y3
ENST00000397381,19,15829063,15836314,+,ENSG00000214049,lncRNA,UCA1-201,lincRNA,False,0,Q98298
ENST00000532886,11,134479299,134505661,+,ENSG00000255545,retained_intron,B3GAT1-DT-203,retained_intron,False,0,P11369
ENST00000420587,1,67832303,68202987,+,ENSG00000232284,lncRNA,GNG12-AS1-203,antisense_RNA,True,5,P14712
ENST00000566551,1,23281309,23286752,-,ENSG00000261326,lncRNA,LINC01355-201,lincRNA,False,0,Q86U02
ENST00000561847,16,2476558,2482173,+,ENSG00000260293,lncRNA,,sense_intronic,False,0,Q6UX73
ENST00000562507,16,70755098,70773251,+,ENSG00000214353,lncRNA,VAC14-AS1-202,antisense_RNA,True,20,Q8N2A0
ENST00000453601,9,2535652,2622373,-,ENSG00000236404,lncRNA,VLDLR-AS1-204,antisense_RNA,True,40,Q47UR1
ENST00000554988,14,20343048,20343685,-,ENSG00000259001,lncRNA,,antisense_RNA,False,0,Q5UE93
ENST00000566070,16,29217170,29220031,-,ENSG00000259807,lncRNA,,lincRNA,False,0,Q4V348
ENST00000603487,9,104080024,104092474,-,ENSG00000270332,lncRNA,SMC2-DT-201,lincRNA,False,0,O00370
ENST00000567520,16,30194499,30204310,+,ENSG00000213599,retained_intron,SLX1A-SULT1A3-204,retained_intron,False,0,P50226
ENST00000601296,20,63861212,63864293,-,ENSG00000268858,lncRNA,,antisense_RNA,False,0,Q5XIL6
ENST00000457283,16,30534752,30537144,+,ENSG00000235560,lncRNA,ZNF747-DT-201,antisense_RNA,False,0,Q8N2A0
ENST00000418747,9,128108581,128118693,-,ENSG00000234771,lncRNA,SLC25A25-AS1-201,antisense_RNA,False,0,Q8N2A0
ENST00000429940,10,42475543,42495337,+,ENSG00000185904,lncRNA,LINC00839-202,lincRNA,False,0,P63136
ENST00000495847,14,95663256,95692628,+,ENSG00000259084,lncRNA,,processed_transcript,False,0,O95988
ENST00000529743,8,143758153,143771870,-,ENSG00000254973,lncRNA,,lincRNA,False,0,Q9H741
ENST00000610972,9,66047087,66052734,-,ENSG00000274628,processed_transcript,CYP4F59P-202,lincRNA,False,0,Q9H0H9
ENST00000409610,7,157614023,157618765,+,ENSG00000222012,lncRNA,,antisense_RNA,False,0,Q8H4D4
ENST00000355837,7,30548357,30564617,-,ENSG00000196295,retained_intron,GARS1-DT-201,retained_intron,False,0,Q8N2A0
ENST00000439529,20,11909404,11918677,-,ENSG00000236526,lncRNA,BTBD3-AS1-201,antisense_RNA,False,0,M3XQV7
ENST00000411553,6,26521709,26527404,+,ENSG00000228223,lncRNA,HCG11-201,lincRNA,False,0,Q8WTZ3
ENST00000607733,6,170266669,170276762,-,ENSG00000271820,lncRNA,,lincRNA,False,0,Q5N1G4
ENST00000605849,4,95549129,95552457,+,ENSG00000271474,lncRNA,UNC5C-AS1-201,antisense_RNA,False,0,Q6T1W6
ENST00000607598,8,9555144,9556520,-,ENSG00000272267,lncRNA,,antisense_RNA,True,2,O95271
ENST00000454928,2,109937438,109985124,+,ENSG00000283684,lncRNA,,processed_transcript,False,0,O43292
ENST00000641955,12,29389289,29394817,+,ENSG00000257599,lncRNA,OVCH1-AS1-204,antisense_RNA,False,0,Q8WTZ3
ENST00000565493,20,36045618,36051018,-,ENSG00000260032,lncRNA,NORAD-201,lincRNA,False,0,Q86U02
ENST00000439004,1,221330080,221336296,-,ENSG00000234754,lncRNA,LINC02817-202,lincRNA,False,0,Q5VVS0
ENST00000307533,4,6673451,6676047,+,ENSG00000170846,nonsense_mediated_decay,,lincRNA,False,0,B2RBV5
ENST00000605896,6,35220370,35224630,-,ENSG00000272374,lncRNA,,lincRNA,False,0,Q8N2A0
ENST00000565988,14,24209646,24215974,-,ENSG00000260669,retained_intron,,retained_intron,True,1,Q86V88
ENST00000450443,2,172503439,172556596,-,ENSG00000225205,lncRNA,,antisense_RNA,True,60,Q8BFP9
ENST00000618966,13,109269634,109273838,+,ENSG00000275216,lncRNA,,lincRNA,False,0,P10272
ENST00000414466,11,131533857,131540867,-,ENSG00000237654,lncRNA,,antisense_RNA,False,0,Q8N2A0
ENST00000623947,22,27102766,27107019,+,ENSG00000280025,lncRNA,,lincRNA,False,0,P19712
ENST00000499521,5,149494314,149504670,-,ENSG00000230551,retained_intron,,retained_intron,True,1,Q96MD7
ENST00000582008,18,5238062,5246508,+,ENSG00000263753,lncRNA,LINC00667-205,lincRNA,False,0,Q86U02
ENST00000408887,12,62601751,62603690,-,ENSG00000221949,lncRNA,LINC01465-201,lincRNA,False,0,Q8N7H1
ENST00000610494,13,20699307,20703718,-,ENSG00000278291,lncRNA,,antisense_RNA,False,0,Q86U02
ENST00000482609,3,64067964,64103131,+,ENSG00000241111,lncRNA,PRICKLE2-AS1-201,antisense_RNA,True,203,Q7Z3G6
ENST00000453010,9,113113042,113119846,+,ENSG00000231528,lncRNA,FAM225A-202,lincRNA,False,0,Q5BIP8
ENST00000634876,17,45799390,45895661,-,ENSG00000264589,lncRNA,MAPT-AS1-204,antisense_RNA,True,35,Q6UX73
ENST00000506769,5,118468156,118562117,-,ENSG00000250891,lncRNA,LINC02208-201,lincRNA,False,0,Q8L7I2
ENST00000421064,22,23653169,23717347,-,ENSG00000228315,lncRNA,GUSBP11-201,processed_transcript,False,0,Q6P575
ENST00000564224,9,34661903,34666029,-,ENSG00000261215,retained_intron,,retained_intron,True,1,Q9Y4X3
ENST00000575612,16,21120758,21130108,+,ENSG00000263331,lncRNA,,antisense_RNA,False,0,Q8TD57
ENST00000424684,1,143790010,143797108,+,ENSG00000263590,lncRNA,LINC02591-201,lincRNA,False,0,P0DMU3
ENST00000512901,14,97958036,97978108,-,ENSG00000246223,lncRNA,LINC01550-203,lincRNA,False,0,Q8N2A0
ENST00000610681,10,79762710,79786443,-,ENSG00000225484,lncRNA,NUTM2B-AS1-212,antisense_RNA,False,0,O00370
ENST00000635031,4,6673969,6676013,+,ENSG00000170846,protein_coding,,lincRNA,False,0,B2RBV5
ENST00000564211,15,39782571,39785617,+,ENSG00000261136,lncRNA,,antisense_RNA,False,0,Q9FEC1
ENST00000517635,7,27115348,27123377,+,ENSG00000253552,lncRNA,HOXA-AS2-202,antisense_RNA,True,1,Q9X5E7
ENST00000572067,16,67882461,67886367,+,ENSG00000263126,lncRNA,,lincRNA,True,3,Q6P2E9
ENST00000595815,19,49474586,49487637,+,ENSG00000273189,lncRNA,,processed_transcript,True,1,P49771
ENST00000623980,22,25052122,25065241,-,ENSG00000279110,lncRNA,,antisense_RNA,False,0,Q8N2A0
ENST00000488720,3,58162547,58170636,-,ENSG00000244161,lncRNA,FLNB-AS1-202,antisense_RNA,True,78,Q9MZD2
ENST00000610032,10,13638646,13644563,+,ENSG00000239665,lncRNA,,processed_transcript,False,0,Q3ZCU0
ENST00000583687,18,67516546,67899619,+,ENSG00000265533,lncRNA,DSEL-AS1-201,lincRNA,False,0,B8D0T8
ENST00000461291,10,132965534,132976354,+,ENSG00000240707,lncRNA,LINC01168-201,lincRNA,False,0,Q5T7N2
ENST00000567749,12,9367464,9397617,+,ENSG00000260423,lncRNA,LINC02367-201,lincRNA,False,0,Q9M895
ENST00000424989,1,37454876,37474432,-,ENSG00000233621,lncRNA,ZC3H12A-DT-201,antisense_RNA,False,0,Q8N976
ENST00000472805,20,46455033,46481357,-,ENSG00000283757,lncRNA,,processed_transcript,False,0,Q06730
ENST00000623027,22,27019369,27024550,+,ENSG00000279440,lncRNA,,lincRNA,False,0,Q6AE21
ENST00000564950,16,29455157,29464963,+,ENSG00000260280,retained_intron,SLX1B-SULT1A4-203,retained_intron,False,0,P50226
ENST00000564809,16,84594393,84596826,+,ENSG00000261471,lncRNA,,antisense_RNA,False,0,Q4WLY1
ENST00000428667,21,36445731,36532408,+,ENSG00000233818,lncRNA,,antisense_RNA,True,108,Q6ZSR6
ENST00000607251,13,102292327,102394519,-,ENSG00000243319,lncRNA,FGF14-IT1-202,sense_intronic,False,0,B5EI57
ENST00000447261,22,24632915,24647760,+,ENSG00000215481,retained_intron,BCRP3-201,retained_intron,False,0,P11274
ENST00000540687,22,30970094,30976058,+,ENSG00000253352,processed_transcript,TUG1-203,antisense_RNA,False,0,P10272
ENST00000423715,9,116568449,116586328,+,ENSG00000230894,lncRNA,,antisense_RNA,False,0,Q8CEL2
ENST00000566533,18,5748810,5795901,+,ENSG00000261738,lncRNA,MIR3976HG-202,lincRNA,False,0,C5FS55
ENST00000449958,1,53366668,53368245,-,ENSG00000230138,lncRNA,LINC02812-201,lincRNA,False,0,Q96CB5
ENST00000575034,17,80351828,80415118,-,ENSG00000263069,lncRNA,RNF213-AS1-203,antisense_RNA,True,175,Q8WTZ3
ENST00000410948,12,80343515,80343792,-,ENSG00000222880,misc_RNA,RN7SKP261-201,misc_RNA,False,0,P03949
ENST00000529902,14,49991555,50006519,-,ENSG00000214900,lncRNA,LINC01588-203,lincRNA,False,0,Q96MD7
ENST00000624967,5,112419583,112420613,+,ENSG00000278921,lncRNA,EPB41L4A-DT-202,lincRNA,False,0,C5D403
ENST00000435350,12,72253533,72272357,-,ENSG00000236333,lncRNA,TRHDE-AS1-202,antisense_RNA,False,0,P11369
ENST00000624111,17,45895783,45898798,+,ENSG00000279685,lncRNA,MAPT-IT1-201,sense_intronic,False,0,P0DMU3
ENST00000505973,2,27583046,27635174,+,ENSG00000259080,lncRNA,,processed_transcript,False,0,A4FV61
ENST00000582300,18,23957754,23982556,-,ENSG00000265752,lncRNA,,lincRNA,False,0,Q7V493
ENST00000514823,4,123650267,123666832,+,ENSG00000249464,lncRNA,LINC01091-203,lincRNA,False,0,Q5T7P6
ENST00000562167,19,31588040,31595720,-,ENSG00000261400,lncRNA,,lincRNA,False,0,Q6ZMV9
ENST00000565214,16,25140583,25146248,-,ENSG00000260034,lncRNA,LCMT1-AS2-202,antisense_RNA,False,0,B6SEH9
ENST00000623646,8,62248854,62984904,+,ENSG00000185942,protein_coding,NKAIN3-205,lincRNA,False,0,Q9CEC5
ENST00000566570,7,56493124,56497285,+,ENSG00000261275,lncRNA,,lincRNA,False,0,Q9H0H9
ENST00000601251,2,38959287,38960342,-,ENSG00000269210,lncRNA,,antisense_RNA,False,0,A8MVX0
ENST00000637369,18,39841809,39896298,+,ENSG00000283503,lncRNA,LINC01902-203,lincRNA,False,0,Q8WTZ3
ENST00000501652,5,127965888,128082974,-,ENSG00000245937,lncRNA,SLC12A2-DT-203,lincRNA,False,0,Q8NHA8
ENST00000596718,19,21483374,21499298,+,ENSG00000268658,lncRNA,LINC00664-202,lincRNA,False,0,Q8N2A0
ENST00000538077,13,110863987,110870251,-,ENSG00000255874,lncRNA,PRECSIT-201,lincRNA,False,0,Q8IVM7
ENST00000606723,6,25992662,26001775,+,ENSG00000272462,lncRNA,,lincRNA,False,0,Q8N976
ENST00000613291,12,69326574,69331882,-,ENSG00000274979,lncRNA,,lincRNA,False,0,A0A096LPI5
ENST00000313737,12,31324316,31325829,+,ENSG00000177340,lncRNA,FLJ13224-201,antisense_RNA,False,0,Q3BPA1
ENST00000557359,14,27612577,27639636,+,ENSG00000258548,lncRNA,LINC00645-202,lincRNA,False,0,P03222
ENST00000448901,2,6366010,6375422,-,ENSG00000227007,lncRNA,LINC01247-201,lincRNA,False,0,Q8N2A0
ENST00000634708,21,15370501,15627258,-,ENSG00000229425,lncRNA,,lincRNA,False,0,A4D2B8
ENST00000619625,10,79716445,79826299,-,ENSG00000225484,lncRNA,NUTM2B-AS1-213,antisense_RNA,False,0,Q8N976
ENST00000445118,1,827598,859446,+,ENSG00000228794,lncRNA,LINC01128-205,lincRNA,False,0,Q5U5Z8
ENST00000499418,8,124462485,124474564,-,ENSG00000245149,lncRNA,RNF139-DT-201,lincRNA,False,0,Q6UX73
ENST00000635290,1,60660227,60867998,-,ENSG00000231252,lncRNA,,lincRNA,False,0,P11369
ENST00000521663,8,57279543,57286968,+,ENSG00000215117,lncRNA,LINC00588-201,lincRNA,False,0,Q9Y4M8
ENST00000554742,14,93904730,93926372,-,ENSG00000258584,lncRNA,FAM181A-AS1-202,antisense_RNA,False,0,P08548
ENST00000605778,7,35695214,35699413,+,ENSG00000271122,lncRNA,HERPUD2-AS1-201,antisense_RNA,False,0,Q6UX73
ENST00000636467,18,39841742,39896298,+,ENSG00000283503,lncRNA,LINC01902-201,lincRNA,False,0,Q8WTZ3
ENST00000566747,11,76800364,76804555,+,ENSG00000261578,lncRNA,,sense_overlapping,False,0,Q8N769
ENST00000621919,20,3239705,3245382,+,ENSG00000277287,lncRNA,,lincRNA,False,0,Q8WTZ3
ENST00000630740,2,127463850,127505808,+,ENSG00000231731,lncRNA,,antisense_RNA,True,2,Q96ST2
ENST00000608721,6,160990318,160992342,-,ENSG00000272841,lncRNA,MAP3K4-AS1-201,antisense_RNA,False,0,Q8N1X5
ENST00000528482,11,134466185,134487915,+,ENSG00000255545,lncRNA,B3GAT1-DT-201,lincRNA,False,0,Q6UX73
ENST00000565797,19,1874871,1876169,-,ENSG00000261526,lncRNA,,lincRNA,False,0,Q9B8C8
ENST00000635621,21,15370502,15444589,-,ENSG00000229425,lncRNA,,lincRNA,False,0,Q8N2A0
ENST00000427447,21,33931160,33977691,+,ENSG00000237945,lncRNA,LINC00649-203,antisense_RNA,False,0,Q8N2A0
ENST00000609998,7,879790,886547,-,ENSG00000273151,lncRNA,,antisense_RNA,False,0,Q6B4Z3
ENST00000563949,2,231809846,231812352,+,ENSG00000261096,lncRNA,,sense_overlapping,False,0,Q2TBQ3
ENST00000634587,1,30824627,30834282,+,ENSG00000223382,lncRNA,LINC01778-204,lincRNA,False,0,Q9Z6E4
ENST00000556159,15,26115778,26126380,+,ENSG00000259150,lncRNA,LINC00929-202,lincRNA,False,0,Q2YUL9
ENST00000573379,16,10940719,10943021,+,ENSG00000179583,processed_transcript,CIITA-210,antisense_RNA,False,0,O95424
ENST00000414287,22,49414524,49657504,-,ENSG00000188511,lncRNA,MIR3667HG-204,lincRNA,False,0,Q96N38
